Date,Pressure,Instantaneous VRR,Cummulative VRR
12/1/1998,3764.498881,0.000,0.000
1/1/1999,3762.778784,0.000,0.000
2/1/1999,3762.439802,0.000,0.000
3/1/1999,3760.976963,0.000,0.000
4/1/1999,3760.804927,0.000,0.000
5/1/1999,3759.464918,0.000,0.000
6/1/1999,3759.376737,0.000,0.000
7/1/1999,3758.099949,0.000,0.000
8/1/1999,3759.007041,0.000,0.000
9/1/1999,3757.547572,0.000,0.000
10/1/1999,3757.38146,0.000,0.000
11/1/1999,3756.05366,0.000,0.000
12/1/1999,3755.019394,0.000,0.000
1/1/2000,3753.965399,0.000,0.000
2/1/2000,3753.114455,0.000,0.000
3/1/2000,3752.191999,0.000,0.000
4/1/2000,3751.435205,0.000,0.000
5/1/2000,3749.81011,0.000,0.000
6/1/2000,3750.197024,0.000,0.000
7/1/2000,3748.33969,0.000,0.000
8/1/2000,3746.759107,0.000,0.000
9/1/2000,3746.391272,0.000,0.000
10/1/2000,3745.069202,0.000,0.000
11/1/2000,3744.702828,0.000,0.000
12/1/2000,3742.463882,0.000,0.000
1/1/2001,3742.302098,0.000,0.000
2/1/2001,3740.937719,0.000,0.000
3/1/2001,3740.726305,0.000,0.000
4/1/2001,3739.337504,0.000,0.000
5/1/2001,3738.079625,0.000,0.000
6/1/2001,3737.928511,0.000,0.000
7/1/2001,3735.678942,0.000,0.000
8/1/2001,3734.656592,0.000,0.000
9/1/2001,3733.640575,0.000,0.000
10/1/2001,3732.640312,0.000,0.000
11/1/2001,3732.664316,0.000,0.000
12/1/2001,3730.561275,0.000,0.000
1/1/2002,3729.634047,0.000,0.000
2/1/2002,3727.78945,0.000,0.000
3/1/2002,3727.139894,0.000,0.000
4/1/2002,3726.294921,0.000,0.000
5/1/2002,3725.527822,0.000,0.000
6/1/2002,3724.608217,0.000,0.000
7/1/2002,3722.788929,0.000,0.000
8/1/2002,3722.148361,0.000,0.000
9/1/2002,3721.311817,0.000,0.000
10/1/2002,3719.559589,0.000,0.000
11/1/2002,3718.855662,0.000,0.000
12/1/2002,3717.193148,0.000,0.000
1/1/2003,3715.671645,0.000,0.000
2/1/2003,3714.242835,0.000,0.000
3/1/2003,3713.862076,0.000,0.000
4/1/2003,3712.591467,0.000,0.000
5/1/2003,3711.108247,0.000,0.000
6/1/2003,3709.710411,0.000,0.000
7/1/2003,3708.371876,0.000,0.000
8/1/2003,3707.077071,0.000,0.000
9/1/2003,3705.814169,0.000,0.000
10/1/2003,3704.574991,0.000,0.000
11/1/2003,3704.213274,0.000,0.000
12/1/2003,3702.116044,0.000,0.000
1/1/2004,3700.924908,0.000,0.000
2/1/2004,3698.773782,0.000,0.000
3/1/2004,3697.78134,0.000,0.000
4/1/2004,3696.73156,0.000,0.000
5/1/2004,3695.6489,0.000,0.000
6/1/2004,3693.697431,0.000,0.000
7/1/2004,3692.746207,0.000,0.000
8/1/2004,3691.72936,0.000,0.000
9/1/2004,3690.672586,0.000,0.000
10/1/2004,3688.748273,0.000,0.000
11/1/2004,3687.809906,0.000,0.000
12/1/2004,3685.864585,0.000,0.000
1/1/2005,3684.170555,0.000,0.000
2/1/2005,3682.55626,0.000,0.000
3/1/2005,3681.001186,0.000,0.000
4/1/2005,3680.316953,0.000,0.000
5/1/2005,3678.675012,0.000,0.000
6/1/2005,3675.363276,0.000,0.000
7/1/2005,3674.289351,0.000,0.000
8/1/2005,3672.206903,0.000,0.000
9/1/2005,3668.531165,0.000,0.000
10/1/2005,3667.010155,0.000,0.000
11/1/2005,3664.642141,0.000,0.000
12/1/2005,3663.227972,0.000,0.000
1/1/2006,3660.054289,0.000,0.000
2/1/2006,3658.881457,0.000,0.000
3/1/2006,3656.786161,0.000,0.000
4/1/2006,3655.566914,0.000,0.000
5/1/2006,3652.558918,0.000,0.000
6/1/2006,3651.489702,0.000,0.000
7/1/2006,3650.371078,0.000,0.000
8/1/2006,3647.368535,0.000,0.000
9/1/2006,3645.505976,0.000,0.000
10/1/2006,3643.747129,0.000,0.000
11/1/2006,3641.008906,0.000,0.000
12/1/2006,3639.425649,0.000,0.000
1/1/2007,3637.687919,0.000,0.000
2/1/2007,3635.163016,0.000,0.000
3/1/2007,3632.003724,0.000,0.000
4/1/2007,3629.852158,0.000,0.000
5/1/2007,3626.200144,0.000,0.000
6/1/2007,3625.243797,0.000,0.000
7/1/2007,3621.691356,0.000,0.000
8/1/2007,3619.194753,0.000,0.000
9/1/2007,3616.007117,0.000,0.000
10/1/2007,3613.762862,0.000,0.000
11/1/2007,3609.929218,0.000,0.000
12/1/2007,3607.23565,0.000,0.000
1/1/2008,3605.342063,0.000,0.000
2/1/2008,3602.626207,0.000,0.000
3/1/2008,3600.726977,0.000,0.000
4/1/2008,3597.920106,0.000,0.000
5/1/2008,3596.033749,0.000,0.000
6/1/2008,3594.064581,0.000,0.000
7/1/2008,3591.311872,0.000,0.000
8/1/2008,3588.556087,0.000,0.000
9/1/2008,3586.694342,0.000,0.000
10/1/2008,3583.931986,0.000,0.000
11/1/2008,3582.068289,0.000,0.000
12/1/2008,3578.593269,0.000,0.000
1/1/2009,3576.853256,0.000,0.000
2/1/2009,3573.477196,0.000,0.000
3/1/2009,3571.094091,0.000,0.000
4/1/2009,3568.610984,0.000,0.000
5/1/2009,3565.439393,0.000,0.000
6/1/2009,3563.197853,0.000,0.000
7/1/2009,3562.933488,0.000,0.000
8/1/2009,3560.987367,0.000,0.000
9/1/2009,3557.509352,0.000,0.000
10/1/2009,3554.246058,0.000,0.000
11/1/2009,3550.440921,0.000,0.000
12/1/2009,3546.872329,0.000,0.000
1/1/2010,3544.168226,0.000,0.000
2/1/2010,3540.794714,0.000,0.000
3/1/2010,3537.557943,0.000,0.000
4/1/2010,3535.102353,0.000,0.000
5/1/2010,3531.159966,0.000,0.000
6/1/2010,3527.439861,0.000,0.000
7/1/2010,3524.639364,0.000,0.000
8/1/2010,3521.074018,0.000,0.000
9/1/2010,3517.727105,0.000,0.000
10/1/2010,3514.4595,0.000,0.000
11/1/2010,3511.919812,0.000,0.000
12/1/2010,3508.655968,0.000,0.000
1/1/2011,3505.371308,0.000,0.000
2/1/2011,3502.896435,0.000,0.000
3/1/2011,3499.691896,0.000,0.000
4/1/2011,3497.198794,0.000,0.000
5/1/2011,3493.335818,0.000,0.000
6/1/2011,3490.937573,0.000,0.000
7/1/2011,3487.063821,0.000,0.000
8/1/2011,3484.085404,0.000,0.000
9/1/2011,3480.372606,0.000,0.000
10/1/2011,3476.782066,0.000,0.000
11/1/2011,3473.922478,0.000,0.000
12/1/2011,3469.670692,0.000,0.000
1/1/2012,3466.337233,0.000,0.000
2/1/2012,3463.032382,0.000,0.000
3/1/2012,3459.671064,0.000,0.000
4/1/2012,3457.061715,0.000,0.000
5/1/2012,3453.740315,0.000,0.000
6/1/2012,3449.748321,0.000,0.000
7/1/2012,3446.601285,0.000,0.000
8/1/2012,3442.120334,0.000,0.000
9/1/2012,3439.167534,0.000,0.000
10/1/2012,3434.843124,0.000,0.000
11/1/2012,3430.692212,0.000,0.000
12/1/2012,3427.364441,0.000,0.000
1/1/2013,3424.640297,0.000,0.000
2/1/2013,3421.128886,0.000,0.000
3/1/2013,3418.347472,0.000,0.000
4/1/2013,3415.403556,0.000,0.000
5/1/2013,3413.104716,0.000,0.000
6/1/2013,3410.063277,0.000,0.000
7/1/2013,3406.32288,0.000,0.000
8/1/2013,3402.671727,0.000,0.000
9/1/2013,3399.086353,0.000,0.000
10/1/2013,3394.959791,0.000,0.000
11/1/2013,3390.963492,0.000,0.000
12/1/2013,3387.063307,0.000,0.000
1/1/2014,3383.245987,0.000,0.000
2/1/2014,3379.488137,0.000,0.000
3/1/2014,3375.194689,0.000,0.000
4/1/2014,3372.782854,0.000,0.000
5/1/2014,3369.043708,0.000,0.000
6/1/2014,3365.361545,0.000,0.000
7/1/2014,3361.054803,0.000,0.000
8/1/2014,3358.112657,0.000,0.000
9/1/2014,3355.664085,0.000,0.000
10/1/2014,3352.500022,0.000,0.000
11/1/2014,3349.313129,0.000,0.000
12/1/2014,3346.676927,0.000,0.000
1/1/2015,3343.942932,0.000,0.000
2/1/2015,3341.135048,0.000,0.000
3/1/2015,3337.61737,0.000,0.000
4/1/2015,3335.364349,0.000,0.000
5/1/2015,3331.839885,0.000,0.000
6/1/2015,3328.939592,0.000,0.000
7/1/2015,3325.353813,0.000,0.000
8/1/2015,3322.47409,0.000,0.000
9/1/2015,3319.550736,0.000,0.000
10/1/2015,3315.397445,0.000,0.000
11/1/2015,3312.587014,0.000,0.000
12/1/2015,3308.52248,0.000,0.000
1/1/2016,3305.776765,0.000,0.000
2/1/2016,3302.325036,0.019,0.019
3/1/2016,3298.359539,0.017,0.036
4/1/2016,3296.233305,0.002,0.038
5/1/2016,3292.847022,0.009,0.047
6/1/2016,3290.046392,0.010,0.057
7/1/2016,3286.0164,0.017,0.074
8/1/2016,3283.281744,0.016,0.090
9/1/2016,3279.853105,0.009,0.099
10/1/2016,3276.461702,0.009,0.108
11/1/2016,3273.098233,0.018,0.126
12/1/2016,3269.757415,0.017,0.143
1/1/2017,3267.594956,0.015,0.157
2/1/2017,3264.671968,0.018,0.175
3/1/2017,3261.806998,0.000,0.175
4/1/2017,3259.447491,0.018,0.193
5/1/2017,3256.374905,0.000,0.193
6/1/2017,3253.391633,0.000,0.193
7/1/2017,3250.93518,0.000,0.193
8/1/2017,3247.790067,0.000,0.193
9/1/2017,3244.748411,0.008,0.201
10/1/2017,3242.242936,0.008,0.209
11/1/2017,3239.063773,0.000,0.209
12/1/2017,3236.525138,0.000,0.209
1/1/2018,3233.322073,0.000,0.209
2/1/2018,3230.157122,0.000,0.209
3/1/2018,3228.67711,0.000,0.209
4/1/2018,3227.002499,0.015,0.224
5/1/2018,3224.131104,0.004,0.227
6/1/2018,3221.200592,0.004,0.231
7/1/2018,3218.289951,0.004,0.234
8/1/2018,3214.873779,0.004,0.238
9/1/2018,3212.657953,0.020,0.258
10/1/2018,3209.241193,0.025,0.283
11/1/2018,3206.429561,0.000,0.283
12/1/2018,3203.612902,0.025,0.308
1/1/2019,3200.79608,0.029,0.336
2/1/2019,3200.201768,0.029,0.366
3/1/2019,3197.103306,0.017,0.383
4/1/2019,3194.588535,0.017,0.399
5/1/2019,3191.53604,0.015,0.414
6/1/2019,3189.637569,0.023,0.437
7/1/2019,3185.941986,0.023,0.459
8/1/2019,3184.075669,0.022,0.481
9/1/2019,3180.409881,0.000,0.481
10/1/2019,3177.466304,0.000,0.481
11/1/2019,3174.54651,0.000,0.481
12/1/2019,3172.156794,0.000,0.481
1/1/2020,3169.217003,0.000,0.481
2/1/2020,3166.813029,0.000,0.481
3/1/2020,3163.785135,0.000,0.481
4/1/2020,3161.965842,0.000,0.481
5/1/2020,3159.450037,0.000,0.481
6/1/2020,3156.922345,0.000,0.481
7/1/2020,3153.300653,0.000,0.481
8/1/2020,3150.88352,0.000,0.481
9/1/2020,3148.426309,0.000,0.481
10/1/2020,3193.208668,0.000,0.481
11/1/2020,3184.856117,0.000,0.481
12/1/2020,3179.685226,0.000,0.481
1/1/2021,3174.827796,0.000,0.481
2/1/2021,3169.86207,0.000,0.481
3/1/2021,3165.354369,0.000,0.481
4/1/2021,3160.128079,0.000,0.481
5/1/2021,3156.417098,0.000,0.481
6/1/2021,3152.91245,0.000,0.481
7/1/2021,3124.445881,0.000,0.481
8/1/2021,3122.742464,0.000,0.481
9/1/2021,3121.264549,0.000,0.481
10/1/2021,3119.401192,0.000,0.481
11/1/2021,3117.459523,0.000,0.481
12/1/2021,3115.324698,0.000,0.481
1/1/2022,3112.993556,0.000,0.481
2/1/2022,3110.694282,0.000,0.481
3/1/2022,3108.129127,0.000,0.481
4/1/2022,3105.44357,0.000,0.481
5/1/2022,3102.51175,0.000,0.481
